,Alloy,Dmax
0,Ag0Cu32Fe68,0
1,Ag0Cu54Fe46,0
2,Ag0Cu63Fe37,0
3,Ag0Cu70Fe30,0
4,Ag0Cu71Fe29,0
5,Ag0Cu76Fe24,0
6,Ag0Cu90Fe10,0
7,Ag27Cu73Fe0,0
8,Ag42Cu0Fe58,0
9,Ag48Cu0Fe52,0
10,Ag48Cu52Fe0,0
11,Ag50Cu0Fe50,0
12,Ag52Cu0Fe48,0
13,Ag55Cu0Fe45,0
14,Ag61Cu0Fe39,0
15,Ag63Cu0Fe37,0
16,Ag67Cu0Fe33,0
17,Ag70Cu0Fe30,0
18,Ag84Cu0Fe16,0
19,Ag0Mg80Y20,0
20,Ag0Mg87.5Y12.5,0
21,Ag0Mg75Y25,0
22,Ag0Mg90Y10,0
23,Ag0Mg95Y5,0
24,Al4B10Fe86,0
25,Al0B22Ni78,0
26,Al0B26Ni74,0
27,Al92.5Ca7.5Fe0,0
28,Al90Ca0Ni10,0
29,Al92.5Ca7.5Ni0,0
30,Al88Ce12Co0,0
31,Al89Ce11Co0,0
32,Al87Ce13Co0,0
33,Al90Ce0Co10,0
34,Al94Ce6Co0,0
35,Al89Ce11Cr0,0
36,Al87Ce13Cr0,0
37,Al94Ce6Cr0,0
38,Al88Ce12Cu0,0
39,Al89Ce11Cu0,0
40,Al87Ce13Cu0,0
41,Al94Ce6Cu0,0
42,Al88Ce12Fe0,0
43,Al89Ce11Fe0,0
44,Al84Ce2Fe14,0
45,Al87Ce13Fe0,0
46,Al94Ce6Fe0,0
47,Al88Ce12Mn0,0
48,Al89Ce11Mn0,0
49,Al87Ce13Mn0,0
50,Al94Ce6Mn0,0
51,Al88Ce12Nb0,0
52,Al89Ce11Nb0,0
53,Al87Ce13Nb0,0
54,Al94Ce6Nb0,0
55,Al90Ce0Ni10,0
56,Al94Ce6Ni0,0
57,Al95Ce5Ni0,0
58,Al88Ce12V0,0
59,Al89Ce11V0,0
60,Al87Ce13V0,0
61,Al94Ce6V0,0
62,Al86Co14Fe0,0
63,Al88Co12Fe0,0
64,Al90Co0Fe10,0
65,Al90Co10Fe0,0
66,Al92Co0Fe8,0
67,Al92Co8Fe0,0
68,Al94Co0Fe6,0
69,Al94Co6Fe0,0
70,Al96Co0Fe4,0
71,Al96Co4Fe0,0
72,Al98Co0Fe2,0
73,Al98Co2Fe0,0
74,Al100Co0Fe0,0
75,Al88Co0Fe12,0
76,Al88Co12Mn0,0
77,Al90Co10Mn0,0
78,Al92Co8Mn0,0
79,Al94Co6Mn0,0
80,Al94Co0Mn6,0
81,Al96Co0Mn4,0
82,Al96Co4Mn0,0
83,Al98Co0Mn2,0
84,Al98Co2Mn0,0
85,Al100Co0Mn0,0
86,Al84Co12Mn4,0
87,Al86Co14Mn0,0
88,Al92Co0Mn8,0
89,Al84Cr16Si0,0
90,Al85Cr15Si0,0
91,Al86Cr14Si0,0
92,Al80Cr20Si0,0
